run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
18, 35.239961, 80.000000, 359.481801, 710.000000, 1130.000000
6, 42.202652, 154.000000, 308.977216, 635.000000, 1110.000000
4, 42.564012, 90.000000, 305.463740, 620.000000, 1152.000000
13, 36.449517, 113.000000, 349.140317, 716.000000, 1083.000000
5, 42.237792, 93.000000, 306.207558, 610.000000, 1114.000000
14, 36.685184, 147.000000, 348.831898, 700.000000, 1225.000000
3, 43.110898, 101.000000, 303.096416, 606.000000, 1074.000000
11, 36.135138, 121.000000, 350.002501, 690.000000, 1201.000000
10, 36.226559, 88.000000, 351.372604, 723.000000, 1265.000000
17, 35.783924, 134.000000, 356.152542, 744.000000, 1267.000000
9, 36.916819, 68.000000, 342.375104, 720.000000, 1253.000000
15, 35.930057, 107.000000, 353.710475, 728.000000, 1186.000000
19, 35.299887, 143.000000, 357.642679, 757.000000, 1263.000000
8, 38.199457, 146.000000, 335.125313, 687.000000, 1174.000000
12, 36.110358, 100.000000, 351.677966, 746.000000, 1278.000000
2, 43.555609, 96.000000, 299.425952, 676.000000, 968.000000
7, 41.619902, 146.000000, 311.637121, 619.000000, 1043.000000
1, 44.812172, 141.000000, 286.016671, 678.000000, 1753.000000
16, 35.769659, 62.000000, 353.148097, 706.000000, 1173.000000
20, 35.598738, 85.000000, 361.361767, 767.000000, 1306.000000
