run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
14, 39.094057, 165, 340, 677, 1123
13, 38.994850, 125, 341, 680, 1038
4, 40.134503, 161, 334, 651, 1087
3, 39.405608, 119, 337, 671, 1177
8, 39.965858, 155, 332, 618, 1179
11, 39.015722, 119, 340, 648, 1115
18, 39.708367, 130, 335, 642, 1114
20, 39.207951, 110, 339, 674, 1136
17, 39.331836, 113, 338, 680, 1037
9, 39.320797, 150, 338, 709, 988
19, 39.596241, 120, 337, 624, 1031
2, 40.212347, 145, 332, 661, 1025
12, 38.546652, 147, 341, 716, 1039
7, 39.999147, 117, 334, 669, 1054
1, 42.698587, 157, 315, 695, 1255
15, 39.275438, 134, 339, 648, 1014
16, 38.800409, 106, 339, 690, 1082
10, 39.427386, 185, 338, 731, 1042
6, 39.835068, 133, 335, 657, 1089
5, 40.059814, 127, 333, 661, 1028
