run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
17, 39.053254, 87.000000, 321.762712, 532.000000, 1024.000000
6, 39.460249, 127.000000, 319.075299, 511.000000, 1086.000000
16, 38.540205, 97.000000, 322.509586, 544.000000, 1078.000000
10, 39.092905, 175.000000, 322.342039, 554.000000, 973.000000
15, 38.941485, 123.000000, 322.485690, 527.000000, 930.000000
18, 39.405465, 120.000000, 319.230342, 493.000000, 1109.000000
4, 39.803086, 100.000000, 318.323979, 515.000000, 1062.000000
3, 39.041646, 77.000000, 320.507919, 513.000000, 1015.000000
1, 41.393509, 121.000000, 298.102528, 569.000000, 976.000000
2, 39.789059, 89.000000, 315.980550, 526.000000, 917.000000
12, 38.271762, 122.000000, 325.398722, 560.000000, 1031.000000
19, 39.298544, 100.000000, 321.298694, 485.000000, 921.000000
8, 39.652189, 138.000000, 316.185329, 496.000000, 936.000000
13, 38.709330, 120.000000, 324.821895, 510.000000, 1035.000000
9, 39.025554, 125.000000, 322.402334, 549.000000, 986.000000
14, 38.793150, 113.000000, 323.661851, 521.000000, 862.000000
7, 39.682890, 84.000000, 317.333704, 515.000000, 1050.000000
11, 38.732319, 96.000000, 323.634065, 497.000000, 1080.000000
5, 39.747244, 108.000000, 317.243957, 520.000000, 955.000000
20, 38.917913, 90.000000, 322.716310, 546.000000, 1133.000000
