run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
18, 39.883797, 58.000000, 192.027230, 362.000000, 589.000000
6, 39.575109, 77.000000, 194.676577, 350.000000, 506.000000
4, 40.392817, 63.000000, 189.418727, 327.000000, 553.000000
13, 38.797148, 49.000000, 196.409280, 342.000000, 607.000000
5, 40.890081, 56.000000, 188.026952, 342.000000, 596.000000
14, 40.196571, 63.000000, 190.712420, 331.000000, 571.000000
3, 40.855015, 62.000000, 188.888302, 323.000000, 553.000000
11, 40.783718, 56.000000, 191.377327, 330.000000, 546.000000
10, 40.920309, 76.000000, 188.830786, 326.000000, 568.000000
17, 40.406422, 40.000000, 190.554598, 326.000000, 495.000000
9, 40.740321, 66.000000, 190.042512, 341.000000, 591.000000
15, 41.242666, 62.000000, 187.669353, 323.000000, 550.000000
19, 40.161584, 57.000000, 190.369547, 331.000000, 498.000000
8, 40.647925, 57.000000, 189.938594, 331.000000, 549.000000
12, 40.428449, 61.000000, 189.454849, 318.000000, 590.000000
2, 40.616183, 54.000000, 189.306752, 361.000000, 505.000000
7, 41.384863, 59.000000, 189.439289, 319.000000, 542.000000
1, 40.161136, 69.000000, 186.282578, 321.000000, 602.000000
16, 40.683869, 48.000000, 191.164212, 322.000000, 535.000000
20, 40.216784, 41.000000, 187.670186, 336.000000, 516.000000
