run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
14, 42.273828, 76, 188, 342, 501
13, 41.636840, 63, 189, 328, 491
4, 44.317243, 73, 181, 338, 573
3, 43.146507, 64, 183, 354, 575
8, 39.644417, 70, 198, 375, 620
11, 42.687106, 59, 184, 332, 579
18, 42.463387, 59, 187, 326, 513
20, 42.670273, 66, 186, 336, 499
17, 42.875957, 69, 185, 343, 497
9, 44.329787, 75, 180, 336, 499
19, 40.668796, 65, 194, 349, 508
2, 44.846137, 63, 178, 334, 687
12, 42.112521, 62, 185, 357, 508
7, 40.388206, 57, 192, 340, 518
1, 41.317293, 65, 191, 348, 922
15, 41.451377, 72, 189, 346, 541
16, 40.183347, 60, 196, 372, 537
10, 41.018618, 87, 189, 355, 535
6, 43.437653, 58, 183, 336, 587
5, 42.875026, 73, 182, 340, 604
