run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
13, 41.319373, 9.000000, 22.959155, 40.000000, 210.000000
20, 42.353633, 10.000000, 22.323701, 40.000000, 180.000000
18, 42.135950, 9.000000, 22.657961, 38.000000, 202.000000
10, 40.728795, 9.000000, 23.060850, 47.000000, 242.000000
5, 42.552437, 9.000000, 22.199500, 36.000000, 266.000000
6, 43.034282, 9.000000, 22.307030, 37.000000, 170.000000
11, 42.349148, 9.000000, 22.320089, 37.000000, 205.000000
9, 43.915951, 9.000000, 22.069186, 37.000000, 200.000000
2, 44.396472, 9.000000, 21.220061, 42.000000, 343.000000
14, 41.967420, 10.000000, 22.640178, 42.000000, 162.000000
12, 41.818689, 9.000000, 22.327869, 38.000000, 203.000000
1, 40.038280, 9.000000, 23.789108, 47.000000, 409.000000
8, 39.359398, 9.000000, 24.337038, 48.000000, 216.000000
16, 39.891819, 9.000000, 23.631564, 47.000000, 162.000000
3, 42.753425, 9.000000, 21.661573, 46.000000, 171.000000
7, 40.081522, 9.000000, 23.081689, 46.000000, 156.000000
4, 43.922918, 9.000000, 22.069464, 38.000000, 212.000000
17, 42.507707, 9.000000, 22.594887, 38.000000, 130.000000
19, 40.387378, 9.000000, 23.904140, 46.000000, 128.000000
15, 41.146947, 9.000000, 22.613226, 40.000000, 185.000000
