run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
18, 42.062685, 56.000000, 184.366769, 316.000000, 511.000000
6, 42.953645, 55.000000, 180.906363, 318.000000, 586.000000
4, 43.844261, 56.000000, 178.244235, 334.000000, 571.000000
13, 41.253539, 49.000000, 186.250625, 309.000000, 489.000000
5, 42.439755, 71.000000, 179.891637, 333.000000, 503.000000
14, 41.880491, 67.000000, 184.970547, 314.000000, 500.000000
3, 42.679601, 61.000000, 181.024173, 345.000000, 573.000000
11, 42.266588, 51.000000, 181.834676, 310.000000, 572.000000
10, 40.627823, 85.000000, 186.578216, 339.000000, 532.000000
17, 42.422455, 62.000000, 182.879967, 324.000000, 495.000000
9, 43.795354, 74.000000, 177.213948, 329.000000, 498.000000
15, 41.056187, 68.000000, 186.215338, 336.000000, 530.000000
19, 40.308671, 62.000000, 191.093359, 340.000000, 506.000000
8, 39.267044, 66.000000, 195.372604, 364.000000, 618.000000
12, 41.736730, 52.000000, 182.420672, 329.000000, 508.000000
2, 44.295071, 54.000000, 175.517366, 328.000000, 542.000000
7, 40.008896, 54.000000, 189.666018, 330.000000, 504.000000
1, 39.957355, 61.000000, 187.513754, 344.000000, 725.000000
16, 39.815470, 56.000000, 193.615449, 362.000000, 527.000000
20, 42.246241, 59.000000, 183.409003, 321.000000, 496.000000
