subdir, final_throughput, latency_min, latency_mean, latency_p99, latency_max
metrics_2_16,39.374968900000006,10.0,48.0847318,122.0,527.0
metrics_pf_naive,70.89460485,9.0,28.842317349999995,77.0,334.0
metrics_2_8,40.52690265,8.0,23.299485949999998,46.0,292.0
metrics_4_16,38.63270585,10.0,50.64169215,139.0,1113.0
metrics_4_8,41.8330772,9.0,22.68841345,48.0,409.0
