subdir, final_throughput, latency_min, latency_mean, latency_p99, latency_max
metrics_2_16,39.26678255,81.0,329.01754650000004,700.0,1174.0
metrics_pf_naive,70.67455424999999,30.0,180.08545420000002,526.0,907.0
metrics_2_8,40.449238349999995,40.0,190.11300354999997,362.0,607.0
metrics_4_16,38.52241475,62.0,334.5423869,767.0,1753.0
metrics_4_8,41.7458931,49.0,184.44923595,364.0,725.0
