subdir, final_throughput, latency_min, latency_mean, latency_p99, latency_max
metrics_2_16,39.63153189999999,106.0,335.85,731.0,1255.0
metrics_pf_naive,71.8943605,31.0,183.4,529.0,909.0
metrics_2_8,40.7982591,42.0,192.6,368.0,765.0
metrics_4_16,38.9210784,76.0,342.35,798.0,2001.0
metrics_4_8,42.217215949999996,57.0,187.0,375.0,922.0
