run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
13, 38.873227, 9.000000, 24.457071, 45.000000, 129.000000
20, 40.285209, 9.000000, 22.891081, 37.000000, 105.000000
18, 39.967573, 9.000000, 23.757433, 40.000000, 199.000000
10, 40.994157, 8.000000, 23.096971, 37.000000, 121.000000
5, 40.983887, 9.000000, 23.179772, 38.000000, 128.000000
6, 39.645733, 8.000000, 24.669630, 46.000000, 168.000000
11, 40.856870, 9.000000, 23.675465, 43.000000, 244.000000
9, 40.812855, 9.000000, 22.887469, 36.000000, 102.000000
2, 40.681376, 9.000000, 22.697694, 39.000000, 158.000000
14, 40.259973, 8.000000, 23.170047, 38.000000, 113.000000
12, 40.519697, 9.000000, 23.085301, 40.000000, 102.000000
1, 40.246016, 8.000000, 23.079189, 42.000000, 292.000000
8, 40.758992, 9.000000, 23.161434, 40.000000, 129.000000
16, 40.766164, 9.000000, 23.474021, 39.000000, 118.000000
3, 40.928424, 9.000000, 22.875243, 42.000000, 140.000000
7, 41.467911, 9.000000, 23.225896, 39.000000, 123.000000
4, 40.475039, 9.000000, 22.891359, 38.000000, 96.000000
17, 40.473674, 9.000000, 23.215338, 39.000000, 65.000000
19, 40.218582, 9.000000, 23.010558, 38.000000, 79.000000
15, 41.322694, 9.000000, 23.488747, 38.000000, 151.000000
