run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
14, 40.259973, 8.000000, 22.128925, 37.000000, 92.000000
12, 40.519697, 9.000000, 22.021117, 38.000000, 95.000000
3, 40.928889, 9.000000, 21.876632, 41.000000, 135.000000
8, 40.759915, 9.000000, 22.120589, 38.000000, 84.000000
1, 40.246466, 8.000000, 22.019172, 41.000000, 265.000000
11, 40.857334, 8.000000, 22.346485, 42.000000, 71.000000
10, 40.994624, 8.000000, 22.108919, 36.000000, 116.000000
15, 41.323643, 8.000000, 22.410392, 37.000000, 111.000000
6, 39.646170, 8.000000, 23.409280, 45.000000, 129.000000
9, 40.813318, 8.000000, 21.886913, 35.000000, 94.000000
17, 40.473674, 9.000000, 22.204779, 37.000000, 62.000000
13, 38.876587, 9.000000, 23.279522, 43.000000, 124.000000
4, 40.475494, 9.000000, 21.848291, 36.000000, 68.000000
7, 41.468389, 9.000000, 22.136149, 37.000000, 79.000000
16, 40.766164, 9.000000, 22.363712, 37.000000, 59.000000
18, 39.968017, 9.000000, 22.564323, 38.000000, 121.000000
19, 40.219481, 9.000000, 22.051125, 37.000000, 60.000000
20, 40.285660, 8.000000, 21.888024, 36.000000, 78.000000
2, 40.681376, 9.000000, 21.720756, 38.000000, 152.000000
5, 40.984353, 8.000000, 22.168658, 37.000000, 97.000000
