run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
13, 72.438376, 9.000000, 27.791887, 50.000000, 103.000000
20, 70.288539, 10.000000, 28.901084, 53.000000, 205.000000
18, 69.554795, 9.000000, 29.359822, 64.000000, 107.000000
10, 71.800603, 10.000000, 28.717977, 53.000000, 142.000000
5, 70.510308, 9.000000, 28.563212, 54.000000, 118.000000
6, 70.406545, 9.000000, 28.748263, 54.000000, 103.000000
11, 73.058341, 9.000000, 27.951098, 51.000000, 120.000000
9, 70.878396, 9.000000, 28.669908, 50.000000, 88.000000
2, 70.121416, 10.000000, 28.706029, 53.000000, 153.000000
14, 72.063594, 10.000000, 28.559600, 54.000000, 106.000000
12, 73.153380, 10.000000, 28.441512, 54.000000, 119.000000
1, 70.312195, 9.000000, 28.456516, 55.000000, 334.000000
8, 71.099785, 10.000000, 28.949708, 53.000000, 113.000000
16, 71.251807, 10.000000, 28.526257, 52.000000, 106.000000
3, 71.301212, 10.000000, 28.204501, 52.000000, 115.000000
7, 71.738957, 10.000000, 28.759100, 54.000000, 102.000000
4, 72.413307, 10.000000, 28.145874, 54.000000, 135.000000
17, 61.665553, 9.000000, 33.887469, 77.000000, 143.000000
19, 71.984319, 10.000000, 28.903029, 51.000000, 138.000000
15, 71.850669, 9.000000, 28.603501, 52.000000, 104.000000
