run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
13, 72.272453, 30.000000, 172.280911, 445.000000, 738.000000
5, 70.228232, 41.000000, 176.842456, 449.000000, 662.000000
19, 71.733663, 42.000000, 174.027785, 415.000000, 906.000000
4, 72.203472, 34.000000, 172.749097, 431.000000, 686.000000
14, 71.749416, 39.000000, 170.972492, 417.000000, 630.000000
9, 70.603489, 39.000000, 176.567102, 441.000000, 663.000000
11, 72.818581, 39.000000, 172.104751, 433.000000, 607.000000
15, 71.650408, 42.000000, 173.112531, 436.000000, 607.000000
17, 61.466368, 33.000000, 199.767158, 508.000000, 765.000000
10, 71.573584, 39.000000, 171.637677, 433.000000, 678.000000
12, 72.982186, 33.000000, 171.552931, 450.000000, 662.000000
3, 71.189793, 37.000000, 172.040289, 452.000000, 703.000000
1, 70.017534, 39.000000, 169.224229, 449.000000, 667.000000
8, 70.886475, 41.000000, 172.978049, 468.000000, 769.000000
18, 69.327366, 30.000000, 179.841067, 477.000000, 720.000000
16, 70.978572, 28.000000, 175.329258, 441.000000, 784.000000
2, 69.942039, 34.000000, 173.532092, 440.000000, 623.000000
20, 70.146374, 39.000000, 179.005557, 450.000000, 584.000000
7, 71.535052, 39.000000, 173.078911, 446.000000, 662.000000
6, 70.233003, 37.000000, 176.873298, 455.000000, 867.000000
