run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
17, 42.422956, 62.000000, 178.662406, 280.000000, 493.000000
6, 42.954158, 54.000000, 176.692137, 282.000000, 585.000000
16, 39.815911, 47.000000, 189.041678, 322.000000, 524.000000
10, 40.628282, 77.000000, 182.293971, 304.000000, 498.000000
15, 41.056187, 67.000000, 182.072520, 286.000000, 530.000000
18, 42.062685, 55.000000, 180.108641, 277.000000, 457.000000
4, 43.844795, 55.000000, 174.134482, 276.000000, 568.000000
3, 42.679601, 61.000000, 176.885524, 298.000000, 573.000000
1, 39.957799, 60.000000, 183.005557, 300.000000, 724.000000
2, 44.295071, 54.000000, 171.582106, 300.000000, 534.000000
12, 41.737214, 51.000000, 178.254793, 282.000000, 506.000000
19, 40.309122, 61.000000, 186.682690, 298.000000, 502.000000
8, 39.267473, 65.000000, 190.586830, 317.000000, 498.000000
13, 41.254012, 48.000000, 182.056960, 280.000000, 399.000000
9, 43.795887, 73.000000, 173.198666, 278.000000, 498.000000
14, 41.880491, 66.000000, 180.782995, 284.000000, 500.000000
7, 40.009341, 53.000000, 185.284246, 304.000000, 500.000000
11, 42.267085, 50.000000, 177.636288, 283.000000, 449.000000
5, 42.440256, 71.000000, 175.846624, 275.000000, 502.000000
20, 42.246241, 55.000000, 179.256182, 285.000000, 449.000000
