run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
17, 35.784280, 132.000000, 344.868575, 541.000000, 1004.000000
6, 42.204632, 138.000000, 299.370381, 535.000000, 1069.000000
16, 35.770014, 54.000000, 342.034454, 534.000000, 1080.000000
10, 36.226924, 88.000000, 340.404001, 589.000000, 1263.000000
15, 35.930416, 106.000000, 342.482078, 564.000000, 1137.000000
18, 35.240306, 77.000000, 348.152265, 560.000000, 1129.000000
4, 42.564012, 82.000000, 295.941373, 484.000000, 1151.000000
3, 43.111415, 97.000000, 293.904974, 518.000000, 966.000000
1, 44.812730, 140.000000, 277.183106, 523.000000, 1752.000000
2, 43.556136, 85.000000, 290.103084, 538.000000, 908.000000
12, 36.110721, 99.000000, 340.710475, 548.000000, 1016.000000
19, 35.300233, 141.000000, 346.445679, 563.000000, 1028.000000
8, 38.199457, 146.000000, 325.111142, 564.000000, 1069.000000
13, 36.449886, 112.000000, 337.966657, 568.000000, 1020.000000
9, 36.917577, 68.000000, 331.686302, 528.000000, 1172.000000
14, 36.685558, 146.000000, 337.829953, 545.000000, 1093.000000
7, 41.620383, 119.000000, 302.464018, 480.000000, 1040.000000
11, 36.138405, 119.000000, 339.234232, 564.000000, 1155.000000
5, 42.238785, 92.000000, 296.886357, 472.000000, 1113.000000
20, 35.599090, 84.000000, 349.612392, 571.000000, 1187.000000
