run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
13, 36.532973, 13.000000, 53.086691, 131.000000, 213.000000
20, 35.714286, 14.000000, 56.240345, 132.000000, 272.000000
18, 35.327154, 13.000000, 53.878300, 129.000000, 257.000000
10, 36.322716, 10.000000, 52.814949, 134.000000, 393.000000
5, 42.411530, 12.000000, 45.085857, 112.000000, 243.000000
6, 42.305341, 12.000000, 45.414837, 112.000000, 227.000000
11, 36.240205, 13.000000, 52.804112, 133.000000, 342.000000
9, 37.072518, 14.000000, 51.858294, 124.000000, 257.000000
2, 43.695214, 12.000000, 44.140039, 125.000000, 264.000000
14, 36.778836, 12.000000, 53.856627, 129.000000, 233.000000
12, 36.211979, 13.000000, 52.794387, 124.000000, 217.000000
1, 44.941996, 11.000000, 45.313143, 110.000000, 1113.000000
8, 38.271710, 13.000000, 50.554876, 128.000000, 253.000000
16, 35.839152, 14.000000, 54.296471, 136.000000, 193.000000
3, 43.301450, 10.000000, 44.328147, 109.000000, 322.000000
7, 41.725601, 12.000000, 46.412615, 112.000000, 324.000000
4, 42.685169, 11.000000, 44.596832, 117.000000, 349.000000
17, 35.889916, 16.000000, 55.399833, 130.000000, 213.000000
19, 35.379005, 14.000000, 55.917477, 139.000000, 512.000000
15, 36.007366, 12.000000, 54.040011, 136.000000, 195.000000
